seed,control,centered_window,same_session,retrospective_threshold,survivorship_selection_50
1058,0.3355499298,2.3399907142,21.0668978583,0.0383096933,0.6666817880
1059,-0.3313102334,2.5165549538,21.1028751939,0.0916235870,1.0144070528
1060,0.2602981372,2.8005987739,21.1478069874,0.3766939089,0.6623193197
1061,0.2038385961,2.7902080561,21.1902237998,0.1397837220,0.6735628207
1062,-0.0344733253,2.8660426422,21.2117422336,0.1021236766,0.6043017933
1063,-0.2380732792,2.7068015048,21.3455845373,0.1019484262,0.5729521469
1064,-0.1005000747,2.7706622563,21.6205495544,0.4052100464,0.5723172920
1065,0.2098598532,3.2630479445,20.9400516260,0.1080881728,0.7186913809
1066,0.3442123591,2.7471475010,21.0014365375,0.4523945974,0.3955552850
1067,-0.1239538588,2.8467191198,20.5786680403,0.1381784395,0.4570566370
1068,0.1985891742,2.7657232669,21.3110341898,0.2729426028,0.3786277886
1069,-0.0807943722,3.0088634511,20.6080372575,0.1995787927,0.4702005854
1070,0.1679369024,2.8629512576,20.8036426576,0.4991261407,0.4323828065
1071,-0.0582503988,3.1180021445,21.0233274520,0.1067832288,0.5455191907
1072,0.0051694274,2.8274621414,21.1272398650,0.0742555001,0.5440845178
1073,-0.3301808599,2.2008151041,20.8004540789,-0.2694597163,0.4953321774
1074,0.3182390774,2.5761061631,21.4966630450,0.3854320846,0.8151990811
1075,-0.1459519314,2.7320330996,21.2218268251,0.5168791317,0.4503462916
1076,-0.0574641378,2.6048070173,20.9361980177,0.1843962506,0.7609296573
1077,0.3942579244,3.0749174278,20.9261107860,0.4693705626,0.6382699551
1078,0.0666207004,2.8901758385,21.0856440276,0.1347170758,0.4004586905
1079,-0.0899566883,2.4357096623,20.8923949044,-0.1984023027,0.4965412626
1080,0.1158084395,2.9030196008,20.9353250499,0.3178438513,0.4109617796
1081,-0.5201606608,3.0814484599,21.0225432285,-0.1223919092,0.5904721564
1082,0.0055898169,2.7750401553,21.1970321987,0.6910330652,0.6659624002
1083,0.0946069855,2.5986761524,20.6415267053,0.2189339137,0.3881967571
1084,0.4751238852,2.8889936340,21.1489707214,0.5217096564,0.4211995411
1085,0.2295839091,2.3406640090,20.8550352307,0.1233264356,0.4715511760
1086,-0.1282478704,2.8791610936,21.0375548211,0.1713337030,0.5206327990
1087,-0.0919333394,2.7214338767,21.1043562278,-0.0221070612,0.4215675490
1088,0.2670096134,2.9760707801,21.6098812536,0.3366618327,0.3878175717
1089,0.1064779955,2.5773910874,20.9219490683,0.0350275428,0.4732183225
1090,0.3762403182,3.0612498496,20.8989219261,0.3946175952,0.5680024590
1091,-0.0615881738,2.6281056572,21.0630310504,0.1393863935,0.6592023406
1092,-0.3153912510,2.8742541744,20.7576162521,-0.0859938705,0.8684967344
1093,-0.2185489798,2.9412086356,21.1551700323,-0.1062086639,0.4857585543
1094,0.0307506211,2.8058693163,20.7992487606,0.0827608771,0.3123583454
1095,0.1774402406,3.4329999018,21.2120701446,0.7158182419,0.8098017082
1096,0.1736435682,3.1113307482,20.7176761172,0.1641744568,0.5520427359
1097,-0.6345538118,2.4774041713,20.5899431579,-0.1468682170,0.9494405205
1098,0.0505080821,3.1211823347,20.6587061940,0.2168194976,0.5650595399
1099,-0.5824855465,2.6567050851,20.9661389127,0.2094503659,0.4582065971
